pmid,pmcid,doi,title,authors,year,month,day,journal,volume,issue,pages,abstract
29030105,,10.1016/j.neuroimage.2017.10.020,Definition and characterization of an extended multiple-demand network.,"['Camilleri JA', 'Muller VI', 'Fox P', 'Laird AR', 'Hoffstaedter F', 'Kalenscher T', 'Eickhoff SB']",2017,10,10,Neuroimage,,,,"Neuroimaging evidence suggests that executive functions (EF) depend on brain regions that are not closely tied to specific cognitive demands but rather to a wide range of behaviors. A multiple-demand (MD) system has been proposed, consisting of regions showing conjoint activation across multiple demands. Additionally, a number of studies defining networks specific to certain cognitive tasks suggest that the MD system may be composed of a number of sub-networks each subserving specific roles within the system. We here provide a robust definition of an extended MDN (eMDN) based on task-dependent and task-independent functional connectivity analyses seeded from regions previously shown to be convergently recruited across neuroimaging studies probing working memory, attention and inhibition, i.e., the proposed key components of EF. Additionally, we investigated potential sub-networks within the eMDN based on their connectional and functional similarities. We propose an eMDN network consisting of a core whose integrity should be crucial to performance of most operations that are considered higher cognitive or EF. This then recruits additional areas depending on specific demands."
28521007,,10.1093/cercor/bhx121,Computing the Social Brain Connectome Across Systems and States.,"['Alcala-Lopez D', 'Smallwood J', 'Jefferies E', 'Van Overwalle F', 'Vogeley K', 'Mars RB', 'Turetsky BI', 'Laird AR', 'Fox PT', 'Eickhoff SB', 'Bzdok D']",2017,5,18,Cereb Cortex,,,1-26,"Social skills probably emerge from the interaction between different neural processing levels. However, social neuroscience is fragmented into highly specialized, rarely cross-referenced topics. The present study attempts a systematic reconciliation by deriving a social brain definition from neural activity meta-analyses on social-cognitive capacities. The social brain was characterized by meta-analytic connectivity modeling evaluating coactivation in task-focused brain states and physiological fluctuations evaluating correlations in task-free brain states. Network clustering proposed a functional segregation into (1) lower sensory, (2) limbic, (3) intermediate, and (4) high associative neural circuits that together mediate various social phenomena. Functional profiling suggested that no brain region or network is exclusively devoted to social processes. Finally, nodes of the putative mirror-neuron system were coherently cross-connected during tasks and more tightly coupled to embodied simulation systems rather than abstract emulation systems. These first steps may help reintegrate the specialized research agendas in the social and affective sciences."
28467917,,10.1016/j.cortex.2017.03.016,Resting-state functional reorganization in Parkinson's disease: An activation likelihood estimation meta-analysis.,"['Tahmasian M', 'Eickhoff SB', 'Giehl K', 'Schwartz F', 'Herz DM', 'Drzezga A', 'van Eimeren T', 'Laird AR', 'Fox PT', 'Khazaie H', 'Zarei M', 'Eggers C', 'Eickhoff CR']",2017,7,20,Cortex,92,,119-138,"Parkinson's disease (PD) is a common progressive neurodegenerative disorder. Studies using resting-state functional magnetic resonance imaging (fMRI) to investigate underlying pathophysiology of motor and non-motor symptoms in PD yielded largely inconsistent results. This quantitative neuroimaging meta-analysis aims to identify consistent abnormal intrinsic functional patterns in PD across studies. We used PubMed to retrieve suitable resting-state studies and stereotactic data were extracted from 28 individual between-group comparisons. Convergence across their findings was tested using the activation likelihood estimation (ALE) approach. We found convergent evidence for intrinsic functional disturbances in bilateral inferior parietal lobule (IPL) and the supramarginal gyrus in PD patients compared to healthy subjects. In follow-up task-based and task-independent functional connectivity (FC) analyses using two independent healthy subject data sets, we found that the regions showing convergent aberrations in PD formed an interconnected network mainly with the default mode network (DMN). Behavioral characterization of these regions using the BrainMap database suggested associated dysfunction of perception and executive processes. Taken together, our findings highlight the role of parietal cortex in the pathophysiology of PD."
28222386,PMC5408583,10.1016/j.neuroimage.2016.12.037,Heterogeneous fractionation profiles of meta-analytic coactivation networks.,"['Laird AR', 'Riedel MC', 'Okoe M', 'Jianu R', 'Ray KL', 'Eickhoff SB', 'Smith SM', 'Fox PT', 'Sutherland MT']",2017,4,1,Neuroimage,149,,424-435,"Computational cognitive neuroimaging approaches can be leveraged to characterize the hierarchical organization of distributed, functionally specialized networks in the human brain. To this end, we performed large-scale mining across the BrainMap database of coordinate-based activation locations from over 10,000 task-based experiments. Meta-analytic coactivation networks were identified by jointly applying independent component analysis (ICA) and meta-analytic connectivity modeling (MACM) across a wide range of model orders (i.e., d=20-300). We then iteratively computed pairwise correlation coefficients for consecutive model orders to compare spatial network topologies, ultimately yielding fractionation profiles delineating how ""parent"" functional brain systems decompose into constituent ""child"" sub-networks. Fractionation profiles differed dramatically across canonical networks: some exhibited complex and extensive fractionation into a large number of sub-networks across the full range of model orders, whereas others exhibited little to no decomposition as model order increased. Hierarchical clustering was applied to evaluate this heterogeneity, yielding three distinct groups of network fractionation profiles: high, moderate, and low fractionation. BrainMap-based functional decoding of resultant coactivation networks revealed a multi-domain association regardless of fractionation complexity. Rather than emphasize a cognitive-motor-perceptual gradient, these outcomes suggest the importance of inter-lobar connectivity in functional brain organization. We conclude that high fractionation networks are complex and comprised of many constituent sub-networks reflecting long-range, inter-lobar connectivity, particularly in fronto-parietal regions. In contrast, low fractionation networks may reflect persistent and stable networks that are more internally coherent and exhibit reduced inter-lobar communication."
28213119,PMC5555826,10.1016/j.neuroimage.2017.02.034,The heterogeneity of the left dorsal premotor cortex evidenced by multimodal connectivity-based parcellation and functional characterization.,"['Genon S', 'Reid A', 'Li H', 'Fan L', 'Muller VI', 'Cieslik EC', 'Hoffstaedter F', 'Langner R', 'Grefkes C', 'Laird AR', 'Fox PT', 'Jiang T', 'Amunts K', 'Eickhoff SB']",2017,2,14,Neuroimage,,,,"Despite the common conception of the dorsal premotor cortex (PMd) as a single brain region, its diverse connectivity profiles and behavioral heterogeneity argue for a differentiated organization of the PMd. A previous study revealed that the right PMd is characterized by a rostro-caudal and a ventro-dorsal distinction dividing it into five subregions: rostral, central, caudal, ventral and dorsal. The present study assessed whether a similar organization is present in the left hemisphere, by capitalizing on a multimodal data-driven approach combining connectivity-based parcellation (CBP) based on meta-analytic modeling, resting-state functional connectivity, and probabilistic diffusion tractography. The resulting PMd modules were then characterized based on multimodal functional connectivity and a quantitative analysis of associated behavioral functions. Analyzing the clusters consistent across all modalities revealed an organization of the left PMd that mirrored its right counterpart to a large degree. Again, caudal, central and rostral modules reflected a cognitive-motor gradient and a premotor eye-field was found in the ventral part of the left PMd. In addition, a distinct module linked to abstract cognitive functions was observed in the rostro-ventral left PMd across all CBP modalities, implying greater differentiation of higher cognitive functions for the left than the right PMd."
27829086,PMC5293141,10.1001/jamapsychiatry.2016.2783,Altered Brain Activity in Unipolar Depression Revisited: Meta-analyses of Neuroimaging Studies.,"['Muller VI', 'Cieslik EC', 'Serbanescu I', 'Laird AR', 'Fox PT', 'Eickhoff SB']",2017,1,1,JAMA Psychiatry,74,1,47-55,"Importance: During the past 20 years, numerous neuroimaging experiments have investigated aberrant brain activation during cognitive and emotional processing in patients with unipolar depression (UD). The results of those investigations, however, vary considerably; moreover, previous meta-analyses also yielded inconsistent findings. Objective: To readdress aberrant brain activation in UD as evidenced by neuroimaging experiments on cognitive and/or emotional processing. Data Sources: Neuroimaging experiments published from January 1, 1997, to October 1, 2015, were identified by a literature search of PubMed, Web of Science, and Google Scholar using different combinations of the terms fMRI (functional magnetic resonance imaging), PET (positron emission tomography), neural, major depression, depression, major depressive disorder, unipolar depression, dysthymia, emotion, emotional, affective, cognitive, task, memory, working memory, inhibition, control, n-back, and Stroop. Study Selection: Neuroimaging experiments (using fMRI or PET) reporting whole-brain results of group comparisons between adults with UD and healthy control individuals as coordinates in a standard anatomic reference space and using an emotional or/and cognitive challenging task were selected. Data Extraction and Synthesis: Coordinates reported to show significant activation differences between UD and healthy controls during emotional or cognitive processing were extracted. By using the revised activation likelihood estimation algorithm, different meta-analyses were calculated. Main Outcomes and Measures: Meta-analyses tested for brain regions consistently found to show aberrant brain activation in UD compared with controls. Analyses were calculated across all emotional processing experiments, all cognitive processing experiments, positive emotion processing, negative emotion processing, experiments using emotional face stimuli, experiments with a sex discrimination task, and memory processing. All meta-analyses were calculated across experiments independent of reporting an increase or decrease of activity in major depressive disorder. For meta-analyses with a minimum of 17 experiments available, separate analyses were performed for increases and decreases. Results: In total, 57 studies with 99 individual neuroimaging experiments comprising in total 1058 patients were included; 34 of them tested cognitive and 65 emotional processing. Overall analyses across cognitive processing experiments (P > .29) and across emotional processing experiments (P > .47) revealed no significant results. Similarly, no convergence was found in analyses investigating positive (all P > .15), negative (all P > .76), or memory (all P > .48) processes. Analyses that restricted inclusion of confounds (eg, medication, comorbidity, age) did not change the results. Conclusions and Relevance: Inconsistencies exist across individual experiments investigating aberrant brain activity in UD and replication problems across previous neuroimaging meta-analyses. For individual experiments, these inconsistencies may relate to use of uncorrected inference procedures, differences in experimental design and contrasts, or heterogeneous clinical populations; meta-analytically, differences may be attributable to varying inclusion and exclusion criteria or rather liberal statistical inference approaches."
27742561,PMC5123903,10.1016/j.yfrne.2016.10.001,The neural basis of sex differences in sexual behavior: A quantitative meta-analysis.,"['Poeppl TB', 'Langguth B', 'Rupprecht R', 'Safron A', 'Bzdok D', 'Laird AR', 'Eickhoff SB']",2016,10,20,Front Neuroendocrinol,43,,28-43,"Sexuality as to its etymology presupposes the duality of sexes. Using quantitative neuroimaging meta-analyses, we demonstrate robust sex differences in the neural processing of sexual stimuli in thalamus, hypothalamus, and basal ganglia. In a narrative review, we show how these relate to the well-established sex differences on the behavioral level. More specifically, we describe the neural bases of known poor agreement between self-reported and genital measures of female sexual arousal, of previously proposed male proneness to affective sexual conditioning, as well as hints of unconscious activation of bonding mechanisms during sexual stimulation in women. In summary, our meta-analytic review demonstrates that neurofunctional sex differences during sexual stimulation can account for well-established sex differences in sexual behavior."
27569542,PMC5108674,10.1016/j.biopsych.2016.06.014,Functional Decoding and Meta-analytic Connectivity Modeling in Adult Attention-Deficit/Hyperactivity Disorder.,"['Cortese S', 'Castellanos FX', 'Eickhoff CR', ""D'Acunto G"", 'Masi G', 'Fox PT', 'Laird AR', 'Eickhoff SB']",2016,12,15,Biol Psychiatry,80,12,896-904,"BACKGROUND: Task-based functional magnetic resonance imaging (fMRI) studies of adult attention-deficit/hyperactivity disorder (ADHD) have revealed various ADHD-related dysfunctional brain regions, with heterogeneous findings across studies. Here, we used novel meta-analytic data-driven approaches to characterize the function and connectivity profile of ADHD-related dysfunctional regions consistently detected across studies. METHODS: We first conducted an activation likelihood estimation meta-analysis of 24 task-based fMRI studies in adults with ADHD. Each ADHD-related dysfunctional region resulting from the activation likelihood estimation meta-analysis was then analyzed using functional decoding based on ~7500 fMRI experiments in the BrainMap database. This approach allows mapping brain regions to functions not necessarily tested in individual studies, thus suggesting possible novel functions for those regions. Additionally, ADHD-related dysfunctional regions were clustered based on their functional coactivation profiles across all the experiments stored in BrainMap (meta-analytic connectivity modeling). RESULTS: ADHD-related hypoactivation was found in the left putamen, left inferior frontal gyrus (pars opercularis), left temporal pole, and right caudate. Functional decoding mapped the left putamen to cognitive aspects of music perception/reproduction and the left temporal lobe to language semantics; both these regions clustered together on the basis of their meta-analytic functional connectivity. Left inferior gyrus mapped to executive function tasks; right caudate mapped to both executive function tasks and music-related processes. CONCLUSIONS: Our study provides meta-analytic support to the hypothesis that, in addition to well-known deficits in typical executive functions, impairment in processes related to music perception/reproduction and language semantics may be involved in the pathophysiology of adult ADHD."
27511454,PMC5323082,10.1002/hbm.23342,Implementation errors in the GingerALE Software: Description and recommendations.,"['Eickhoff SB', 'Laird AR', 'Fox PM', 'Lancaster JL', 'Fox PT']",2017,1,20,Hum Brain Mapp,38,1,7-11,"Neuroscience imaging is a burgeoning, highly sophisticated field the growth of which has been fostered by grant-funded, freely distributed software libraries that perform voxel-wise analyses in anatomically standardized three-dimensional space on multi-subject, whole-brain, primary datasets. Despite the ongoing advances made using these non-commercial computational tools, the replicability of individual studies is an acknowledged limitation. Coordinate-based meta-analysis offers a practical solution to this limitation and, consequently, plays an important role in filtering and consolidating the enormous corpus of functional and structural neuroimaging results reported in the peer-reviewed literature. In both primary data and meta-analytic neuroimaging analyses, correction for multiple comparisons is a complex but critical step for ensuring statistical rigor. Reports of errors in multiple-comparison corrections in primary-data analyses have recently appeared. Here, we report two such errors in GingerALE, a widely used, US National Institutes of Health (NIH)-funded, freely distributed software package for coordinate-based meta-analysis. These errors have given rise to published reports with more liberal statistical inferences than were specified by the authors. The intent of this technical report is threefold. First, we inform authors who used GingerALE of these errors so that they can take appropriate actions including re-analyses and corrective publications. Second, we seek to exemplify and promote an open approach to error management. Third, we discuss the implications of these and similar errors in a scientific environment dependent on third-party software. Hum Brain Mapp 38:7-11, 2017. (c) 2016 Wiley Periodicals, Inc."
27378909,PMC4905965,10.3389/fnagi.2016.00137,Progressive Bidirectional Age-Related Changes in Default Mode Network Effective Connectivity across Six Decades.,"['Li K', 'Laird AR', 'Price LR', 'McKay DR', 'Blangero J', 'Glahn DC', 'Fox PT']",2016,10,20,Front Aging Neurosci,8,,137,"The default mode network (DMN) is a set of regions that is tonically engaged during the resting state and exhibits task-related deactivation that is readily reproducible across a wide range of paradigms and modalities. The DMN has been implicated in numerous disorders of cognition and, in particular, in disorders exhibiting age-related cognitive decline. Despite these observations, investigations of the DMN in normal aging are scant. Here, we used blood oxygen level dependent (BOLD) functional magnetic resonance imaging (fMRI) acquired during rest to investigate age-related changes in functional connectivity of the DMN in 120 healthy normal volunteers comprising six, 20-subject, decade cohorts (from 20-29 to 70-79). Structural equation modeling (SEM) was used to assess age-related changes in inter-regional connectivity within the DMN. SEM was applied both using a previously published, meta-analytically derived, node-and-edge model, and using exploratory modeling searching for connections that optimized model fit improvement. Although the two models were highly similar (only 3 of 13 paths differed), the sample demonstrated significantly better fit with the exploratory model. For this reason, the exploratory model was used to assess age-related changes across the decade cohorts. Progressive, highly significant changes in path weights were found in 8 (of 13) paths: four rising, and four falling (most changes were significant by the third or fourth decade). In all cases, rising paths and falling paths projected in pairs onto the same nodes, suggesting compensatory increases associated with age-related decreases. This study demonstrates that age-related changes in DMN physiology (inter-regional connectivity) are bidirectional, progressive, of early onset and part of normal aging."
